gender,age_group,component,column_name,p5,p10,p25,p50,p75,p90,p95,mean,std,count
M,20-29세,민첩성,MESURE_IEM_022_VALUE,170.0,182.0,200.0,218.0,233.0,247.0,255.0,215.73875276652686,27.62083498335327,55304
M,20-29세,체성분,MESURE_IEM_018_VALUE,20.109112042253212,21.088912708960407,22.702664080640908,24.548021690672147,26.75191838517923,29.282536971914695,31.091786671173068,24.938299477691096,3.401758427706745,77635
M,30-39세,근력,MESURE_IEM_008_VALUE,34.9,37.8,42.2,47.2,52.3,56.9,59.9,47.192879634332144,7.802818441237836,41349
M,30-39세,심폐지구력,MESURE_IEM_020_VALUE,16.0,21.0,30.0,40.0,50.0,60.0,66.0,39.688781779661014,15.439661346444687,9440
M,30-39세,코어,MESURE_IEM_019_VALUE,23.0,28.0,35.0,43.0,50.0,55.0,59.0,42.10794628557349,11.11896505871874,40585
M,30-39세,유연성,MESURE_IEM_012_VALUE,-8.8,-3.9,4.0,10.5,15.5,19.6,22.2,9.134750276841302,9.199124666485154,40637
M,30-39세,민첩성,MESURE_IEM_022_VALUE,170.0,182.0,199.0,214.0,227.0,239.0,246.0,211.12220726783312,25.250905064339953,28234
M,30-39세,체성분,MESURE_IEM_018_VALUE,21.22448979591837,22.116691561907146,23.652640747772896,25.50041366272539,27.70932291259744,30.078272945335183,31.648628111045213,25.86153403126435,3.2777782684264025,41405
M,40-49세,근력,MESURE_IEM_008_VALUE,34.0,36.8,41.0,45.6,50.4,54.8,57.4,45.61449503873862,7.339699062565639,29428
M,40-49세,심폐지구력,MESURE_IEM_020_VALUE,12.0,16.0,24.0,32.0,42.0,52.0,58.69999999999982,33.590115730165984,14.38983841697936,6567
M,40-49세,코어,MESURE_IEM_019_VALUE,18.0,23.0,30.0,37.0,44.0,50.0,54.0,36.53759933372662,11.278224375121772,28817
M,40-49세,유연성,MESURE_IEM_012_VALUE,-8.8,-4.3,3.3,9.8,15.0,19.0,21.3,8.535822611883516,9.081704932728831,28914
M,40-49세,민첩성,MESURE_IEM_022_VALUE,162.0,174.0,190.0,204.0,217.0,228.0,235.0,201.53308559334548,24.7149074232528,20317
M,40-49세,체성분,MESURE_IEM_018_VALUE,21.168304263138104,22.08114725435741,23.577786630769413,25.322666432108456,27.364642644691216,29.501895282479854,30.86086244319705,25.601633023017357,3.0196741478729527,29464
M,50-59세,근력,MESURE_IEM_008_VALUE,28.3,32.7,37.4,41.9,46.1,50.12999999999993,52.6,41.10474228263948,8.548440338044918,28248
M,50-59세,심폐지구력,MESURE_IEM_020_VALUE,9.0,13.0,18.0,24.0,32.0,42.0,51.0,26.436446700507613,13.61566003836271,6895
M,50-59세,코어,MESURE_IEM_019_VALUE,13.0,17.0,24.0,30.0,37.0,43.0,47.0,30.350012906080607,10.543609419478285,27119
M,50-59세,유연성,MESURE_IEM_012_VALUE,-7.0,-2.9,3.9,9.3,14.3,18.5,20.9,8.52779276209605,8.443037565198452,27881
M,50-59세,민첩성,MESURE_IEM_022_VALUE,115.0,148.0,168.0,183.0,197.0,208.0,215.0,178.27794296025263,30.17032979698933,19951
M,50-59세,체성분,MESURE_IEM_018_VALUE,20.021536889658787,21.34603696590981,23.12129738973686,24.87889273356402,26.7958591086984,28.73526123012801,30.04661283101431,24.973172686615392,3.0641462848304637,28292
M,60-69세,근력,MESURE_IEM_008_VALUE,13.0,28.6,34.1,38.6,42.8,46.5,48.8,37.35830644655075,9.01242185129076,47793
M,60-69세,심폐지구력,MESURE_IEM_020_VALUE,10.0,13.0,16.0,23.0,38.0,75.0,94.0,32.69869605712512,24.955320015127555,6442
M,60-69세,코어,MESURE_IEM_019_VALUE,11.0,15.0,21.0,27.0,33.0,39.0,43.0,26.822582320556766,9.66255013684768,19254
M,60-69세,유연성,MESURE_IEM_012_VALUE,-6.0,-1.7,4.0,9.0,13.6,17.7,20.0,8.410801591837599,7.852560657272879,47241
M,60-69세,민첩성,MESURE_IEM_022_VALUE,88.0,101.0,146.0,168.0,182.0,194.0,200.0,158.78390586797067,34.87682188291454,17178
M,60-69세,체성분,MESURE_IEM_018_VALUE,18.449547523667587,20.462579626612783,22.55976263875554,24.446985390659343,26.255698073199373,28.02434440075442,29.212029553720665,24.300595177936003,3.1556658920090834,47858
M,70-79세,근력,MESURE_IEM_008_VALUE,10.0,11.5,26.8,32.9,37.4,41.2,43.4,30.5230116334283,10.227094560569402,25272
M,70-79세,심폐지구력,MESURE_IEM_020_VALUE,15.0,20.0,35.0,62.5,95.0,100.0,101.0,63.40467164975974,32.150335980678776,3746
M,70-79세,유연성,MESURE_IEM_012_VALUE,-9.9,-5.6,0.6,6.0,11.0,15.4,18.0,5.387808779314493,8.348015323846308,24945
M,70-79세,민첩성,MESURE_IEM_022_VALUE,72.0,81.0,95.0,105.0,118.0,130.0,135.0,105.38796493092455,26.887920170204513,3764
M,70-79세,체성분,MESURE_IEM_018_VALUE,15.82676482340921,17.19675736521043,21.449847671829847,23.816421040996595,25.869144925800178,27.693356818371853,28.867848300742118,23.3653008411082,3.8020779370605946,25294
M,80-89세,근력,MESURE_IEM_008_VALUE,11.485000000000003,15.0,23.0,28.5,33.0,36.8,38.914999999999964,27.424856437864513,8.03452531168438,4458
M,80-89세,심폐지구력,MESURE_IEM_020_VALUE,17.0,27.9,48.0,80.0,100.0,100.0,107.0,72.96756756756757,31.243584091982253,370
M,80-89세,유연성,MESURE_IEM_012_VALUE,-15.0,-10.5,-4.35,2.0,8.0,13.3,16.7,1.6694282433983927,9.483989228913606,4355
M,80-89세,민첩성,MESURE_IEM_022_VALUE,84.0,90.0,100.0,113.0,125.0,136.0,142.0,114.8462365591398,49.63798879779459,372
M,80-89세,체성분,MESURE_IEM_018_VALUE,16.599080526140167,18.888829945693914,21.52407565803675,23.657712037180303,25.706537931674887,27.60643872533616,28.7065906319346,23.445422912323806,3.4898992001782583,4467
M,90세+,근력,MESURE_IEM_008_VALUE,9.7,12.97,19.4,21.6,24.675,29.49,32.09,21.672463768115943,6.421971502049057,138
M,90세+,유연성,MESURE_IEM_012_VALUE,-20.0,-15.2,-8.575,-2.0,4.8500000000000005,6.529999999999999,9.830000000000002,-2.718840579710145,9.264377665900902,138
M,90세+,체성분,MESURE_IEM_018_VALUE,18.8858219326346,20.355014932117314,21.79212621373525,23.381204333585288,24.64026229348633,26.244224494520164,27.444922783131855,23.273696569556076,2.6348179567642607,139
